X,Y,Coded_ID,Tract_name,Name,Name_other,Includes,SiteStatus,Country,State_Prov,Latitude,Longitude,Type,Subtype,Age_Ma,Comm_major,Tonnage_Mt,Cu_pct,Ag_g_t,Con_Cu_t,Group_name,Includes2,SiteStat2,SiteStat3,Agehost,Unit,HostRocks,Co_pct,Comments,Mineralogy,Ref_short,Report
68.785420201,51.979192762,142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Aqmola,51.9791927620001,68.7854202010001,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999,-9999,-9999,-9999,,,,,Upper Carboniferous,Vladimirov Suite,,-9999,,,"Babi'chev and others, 1970",Teniz
68.540980632,51.875806659,142ssCu8050,Teniz Basin,Borisovskoe,,,prospect,Kazakhstan,Aqmola,51.875806659,68.5409806320001,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999,-9999,-9999,-9999,,,significant prospect,,Upper Carboniferous,Vladimirov Suite,,-9999,,chalcopyrite,"Babi'chev and others, 1970",Teniz
68.593959743,51.828344416,142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Aqmola,51.8283444160001,68.593959743,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999,-9999,-9999,-9999,,,,,Upper Carboniferous,Vladimirov Suite,,-9999,,,"Babi'chev and others, 1970",Teniz
67.948461959,51.849298157,142ssCu8050,Teniz Basin,Tassay,,,prospect,Kazakhstan,Qostanay,51.8492981570001,67.948461959,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999,-9999,-9999,-9999,,,,,Upper Carboniferous,Vladimirov Suite,,-9999,,,"Mikhailov, 1963",Teniz
67.817726234,51.873952202,142ssCu8050,Teniz Basin,Akimovskoe,,,prospect,Kazakhstan,Qostanay,51.8739522020001,67.8177262340001,Sediment-hosted stratabound copper,Sandstone copper,374,Cu,-9999,-9999,-9999,-9999,,,,,Upper Devonian,Dzhaksykon series,,-9999,,,"Mikhailov, 1963",Teniz
67.863890271,51.829829278,142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Qostanay,51.829829278,67.8638902710001,Sediment-hosted stratabound copper,Sandstone copper,303,Cu,-9999,-9999,-9999,-9999,,,,,Upper Carboniferous,Vladimirov Suite,,-9999,,,"Mikhailov, 1963",Teniz
67.972639024,51.733323147,142ssCu8050,Teniz Basin,Altynkazgan,,,prospect,Kazakhstan,Aqmola,51.7333231470001,67.972639024,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999,-9999,-9999,-9999,,,significant prospect,,Lower Permian,Kayraktin Suite,,-9999,,,"Mikhailov, 1963",Teniz
67.961826635,51.744967921,142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Aqmola,51.7449679210001,67.9618266350001,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999,-9999,-9999,-9999,,,,,Lower Permian,Kayraktin Suite,,-9999,,,"Mikhailov, 1963",Teniz
67.603562948,51.668660813,142ssCu8050,Teniz Basin,Kiyminskoe,,,prospect,Kazakhstan,Qostanay,51.668660813,67.603562948,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999,-9999,-9999,-9999,,,significant prospect,,Lower Permian,Kiymin Suite,,-9999,,,"Mikhailov, 1963",Teniz
67.529147303,51.67050863,142ssCu8050,Teniz Basin,Kieilin,,,prospect,Kazakhstan,Qostanay,51.67050863,67.5291473030001,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999,-9999,-9999,-9999,,,significant prospect,,Lower Permian,Kiymin Suite,,-9999,,,"Mikhailov, 1963",Teniz
67.654728638,51.598214138,142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Aqmola,51.5982141380001,67.6547286380001,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999,-9999,-9999,-9999,,,,,Lower Permian,Kiymin Suite,,-9999,,,"Mikhailov, 1963",Teniz
68.233092001,50.585928616,142ssCu8050,Teniz Basin,Shoum,,,prospect,Kazakhstan,Aqmola,50.585928616,68.233092001,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999,-9999,-9999,-9999,,,,,Lower Permian,Kayraktin Suite,,-9999,,,"Mazarovich, 1958",Teniz
68.136658893,50.537090441,142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Aqmola,50.537090441,68.1366588930001,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999,-9999,-9999,-9999,,,,,Lower Permian,Kayraktin Suite,,-9999,,,"Mazarovich, 1958",Teniz
68.593729495,50.560156387,142ssCu8050,Teniz Basin,Aksu-2,,,prospect,Kazakhstan,Aqmola,50.5601563870001,68.593729495,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999,-9999,-9999,-9999,,,,,Lower Permian,Kayraktin Suite,,-9999,,,"Mazarovich, 1958",Teniz
68.634565573,50.562958445,142ssCu8050,Teniz Basin,Aksu,,,prospect,Kazakhstan,Aqmola,50.562958445,68.634565573,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999,-9999,-9999,-9999,,,,,Lower Permian,Kayraktin Suite,,-9999,,,"Mazarovich, 1958",Teniz
68.101353734,50.477622935,142ssCu8050,Teniz Basin,Kenen,,,prospect,Kazakhstan,Aqmola,50.4776229350001,68.101353734,Sediment-hosted stratabound copper,Sandstone copper,272,Cu,-9999,0.5,-9999,-9999,,,significant prospect,,Lower Permian,Kayraktin Suite,,-9999,,,"Mazarovich, 1958",Teniz
67.828369581,50.420364635,142ssCu8050,Teniz Basin,Mialy,,,prospect,Kazakhstan,Qostanay,50.4203646350001,67.8283695810001,Sediment-hosted stratabound copper,Sandstone copper,238,Cu,-9999,-9999,-9999,-9999,,,,,Lower Carboniferous,Kirey Suite,,-9999,,,"Minervin, 1961",Teniz
67.720135541,50.477758856,142ssCu8050,Teniz Basin,Toropushinskoe,,,prospect,Kazakhstan,Qostanay,50.477758856,67.720135541,Sediment-hosted stratabound copper,Sandstone copper,238,Cu,-9999,-9999,-9999,-9999,,,,,Lower Carboniferous,Kirey Suite,,-9999,,,"Minervin, 1961",Teniz
67.677199842,50.450122326,142ssCu8050,Teniz Basin,,,,prospect,Kazakhstan,Qostanay,50.450122326,67.6771998420001,Sediment-hosted stratabound copper,Sandstone copper,238,Cu,-9999,-9999,-9999,-9999,,,,,Lower Carboniferous,Kirey Suite,,-9999,,,"Minervin, 1961",Teniz
